City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Necochea,AR,-38.5473,-58.7368,59.72,90,100,10.94,overcast clouds
170,Mount Isa,AU,-20.7333,139.5,78.57,34,19,3.44,light rain
171,Sicuani,PE,-14.2694,-71.2261,62.37,40,59,8.3,broken clouds
172,Fortuna,US,40.5982,-124.1573,48.92,67,40,23.02,scattered clouds
173,Cidreira,BR,-30.1811,-50.2056,70.07,89,100,13.58,overcast clouds
174,Payo,ID,-3.7508,103.6372,72.05,98,71,2.1,broken clouds
175,Podor,MR,16.6527,-14.9587,101.59,9,37,11.81,scattered clouds
176,Bonthe,SL,7.5264,-12.505,82.65,72,91,10.38,overcast clouds
177,Kahului,US,20.8947,-156.47,75.85,79,40,14.97,scattered clouds
178,Aklavik,CA,68.2191,-135.0107,4.75,91,39,5.93,scattered clouds
179,Komsomolskiy,UZ,40.4272,71.7189,73.96,24,91,6.76,light rain
180,Huilong,CN,31.8111,121.655,58.66,96,16,10.09,few clouds
181,Constitucion,CL,-35.3333,-72.4167,60.55,51,31,14.18,scattered clouds
182,Phangnga,TH,8.4509,98.5298,78.84,93,28,2.3,scattered clouds
183,Touros,BR,-5.1989,-35.4608,84.97,62,98,12.35,overcast clouds
184,Nago,JP,26.5881,127.9761,72.45,94,49,6.85,scattered clouds
185,Chapais,CA,49.7834,-74.8492,36.82,82,74,7.23,broken clouds
186,Quelimane,MZ,-17.8786,36.8883,74.01,95,48,2.73,light rain
187,Seddon,AU,-37.8068,144.8916,57.81,76,100,5.75,overcast clouds
188,Katsuura,JP,35.1333,140.3,62.19,87,100,12.59,overcast clouds
189,Redlands,US,34.0556,-117.1825,70.2,75,96,1.01,overcast clouds
190,Beira,MZ,-19.8436,34.8389,77.09,94,40,5.75,scattered clouds
191,Bonawon,PH,9.134,122.9193,79.02,86,97,16.22,light rain
192,Iqaluit,CA,63.7506,-68.5145,20.7,73,16,17.0,few clouds
193,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,75,75,34.52,light rain
194,Mandalgovi,MN,45.7625,106.2708,27.48,44,100,5.99,overcast clouds
195,Saint George,US,37.1041,-113.5841,69.64,13,0,1.99,clear sky
196,Tura,IN,25.5198,90.2201,71.11,89,11,6.2,few clouds
197,Ulagan,RU,50.6321,87.9563,22.89,89,8,0.85,clear sky
198,Muli,MV,2.9167,73.5667,84.4,73,46,9.66,scattered clouds
199,Lalibela,ET,12.0333,39.0333,66.33,38,12,9.46,few clouds
200,Aykhal,RU,66.0,111.5,6.66,100,84,1.7,broken clouds
201,San Policarpo,PH,12.1791,125.5072,78.96,89,100,11.36,heavy intensity rain
202,Airai,TL,-8.9266,125.4092,58.42,68,92,2.04,overcast clouds
203,Mulchen,CL,-37.7167,-72.2333,64.78,30,56,5.68,broken clouds
204,Ibaiti,BR,-23.8486,-50.1878,77.79,59,71,5.32,broken clouds
205,Sebring,US,27.4956,-81.4409,82.89,47,0,6.91,clear sky
206,Marsh Harbour,BS,26.5412,-77.0636,72.23,58,0,13.94,clear sky
207,Paamiut,GL,61.994,-49.6678,32.41,72,100,14.23,overcast clouds
208,Port Hardy,CA,50.6996,-127.4199,41.61,51,1,4.12,clear sky
209,Vilhena,BR,-12.7406,-60.1458,82.92,61,33,5.66,scattered clouds
210,Saskylakh,RU,71.9167,114.0833,-13.95,100,96,2.35,overcast clouds
211,Marzuq,YE,14.4,46.4667,74.79,26,0,8.46,clear sky
212,Santa Rosa,PH,14.3122,121.1114,81.1,84,100,5.01,light rain
213,East London,ZA,-33.0153,27.9116,66.81,85,100,16.06,overcast clouds
214,Severo-Kurilsk,RU,50.6789,156.125,25.95,79,26,7.85,scattered clouds
215,Leningradskiy,RU,69.3833,178.4167,-19.82,97,80,3.85,broken clouds
216,Pisco,PE,-13.7,-76.2167,73.45,56,0,20.71,clear sky
217,Hellvik,NO,59.9156,5.781,41.0,72,99,4.07,overcast clouds
218,Ust-Maya,RU,60.4167,134.5333,20.53,97,100,2.46,light snow
219,Namibe,AO,-15.1961,12.1522,72.43,81,4,6.82,light rain
220,Filingue,NE,14.3521,3.3168,100.15,16,33,8.68,scattered clouds
221,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,61,0,11.5,clear sky
222,Cayenne,GF,4.9333,-52.3333,86.04,1,75,13.8,broken clouds
223,Alofi,NU,-19.0595,-169.9187,80.37,72,99,4.72,overcast clouds
224,Dunedin,NZ,-45.8742,170.5036,54.81,92,100,13.0,overcast clouds
225,Richards Bay,ZA,-28.783,32.0377,67.96,94,96,7.02,overcast clouds
226,Korla,CN,41.7597,86.1469,61.03,35,47,9.37,scattered clouds
227,Srednekolymsk,RU,67.45,153.6833,-14.48,100,41,3.6,scattered clouds
228,Turukhansk,RU,65.8167,87.9833,10.81,92,98,7.36,overcast clouds
229,Wajima,JP,37.4,136.9,56.95,72,2,6.44,clear sky
230,Treinta Y Tres,UY,-33.2333,-54.3833,73.44,77,84,12.48,broken clouds
231,Zarubino,RU,42.63,131.0922,43.11,86,100,2.26,light rain
232,Okhotsk,RU,59.3833,143.3,10.18,96,96,5.99,overcast clouds
233,Hamilton,US,39.1834,-84.5333,59.05,91,100,16.11,mist
234,Jalu,LY,29.0331,21.5482,70.38,20,0,9.73,clear sky
235,Seabrook,US,38.9679,-76.845,67.23,40,0,8.01,clear sky
236,Bambous Virieux,MU,-20.3428,57.7575,75.22,75,41,19.08,scattered clouds
237,Salalah,OM,17.0151,54.0924,82.49,83,0,3.44,clear sky
238,Saint-Philippe,RE,-21.3585,55.7679,74.79,85,88,17.22,light rain
239,Savannakhet,LA,16.566,104.751,83.25,41,5,3.24,clear sky
240,Kinsale,IE,51.7075,-8.5306,52.23,100,100,16.11,light intensity drizzle rain
241,Biak,ID,-0.9131,122.8766,76.28,73,75,4.07,broken clouds
242,Marsa Matruh,EG,31.3525,27.2453,60.13,63,0,18.63,clear sky
243,Geraldton,AU,-28.7667,114.6,55.81,88,32,4.61,scattered clouds
244,Guerrero Negro,MX,27.9769,-114.0611,67.53,54,2,9.37,clear sky
245,Konstantinovo,BY,54.6628,29.2699,40.41,60,100,5.91,overcast clouds
246,Cabo San Lucas,MX,22.8909,-109.9124,82.62,57,20,19.57,few clouds
247,Ginir,ET,7.1333,40.7,59.16,87,77,4.0,light rain
248,Gumdag,TM,39.2061,54.5906,71.1,42,7,11.54,clear sky
249,Awjilah,LY,29.1081,21.2869,70.32,21,0,9.73,clear sky
250,Dourados,BR,-22.2211,-54.8056,91.45,39,12,13.91,few clouds
251,Sakakah,SA,29.9697,40.2064,84.81,10,67,5.79,broken clouds
252,Saint-Joseph,RE,-21.3667,55.6167,73.78,83,83,17.45,light rain
253,Beyneu,KZ,45.3167,55.2,65.08,40,0,5.08,clear sky
254,Vianopolis,BR,-16.7419,-48.5164,81.93,53,9,3.6,clear sky
255,Beipiao,CN,41.7919,120.7792,48.07,30,100,13.0,overcast clouds
256,Dingle,PH,10.9995,122.6711,73.58,96,100,8.25,light rain
257,Chokurdakh,RU,70.6333,147.9167,-0.69,92,100,9.78,overcast clouds
258,Millinocket,US,45.6573,-68.7098,55.51,38,100,11.5,overcast clouds
259,Rosetta,EG,31.4044,30.4164,60.53,66,0,19.3,clear sky
260,New Norfolk,AU,-42.7826,147.0587,49.71,60,64,3.0,light rain
261,Oda,JP,35.1833,132.5,57.97,91,6,8.9,clear sky
262,Malanje,AO,-9.5402,16.341,64.47,97,97,0.85,moderate rain
263,Bubaque,GW,11.2833,-15.8333,76.03,73,21,15.14,few clouds
264,Merauke,ID,-8.4667,140.3333,80.69,85,100,9.06,overcast clouds
